# CaFe Systematics Cuts File
# 
# Header Definitions: 
# entry           : entry to identify each of the gaussian random-generated cuts below
# Q2_min,max      : 4-momentum transfer (MF,SRC) [GeV^2] 
# Em_min,max_mf   : Missing Energy (MF) [GeV] 
# Pm_min,max_mf   : Missing Momentum (MF) [GeV/c] 
# xbj_min,max     : x-bjorken (SRC) 
# thrq_min,max    : recoil nucleon angle relative to q-vector (SRC) [deg] 
# Pm_min,max_src  : Missing Momentum (SRC) [GeV/c] 
# hms/shms_coll   : HMS/SHMS collimator scale factor cut variation
# entry,Q2_min,Q2_max,Em_min_mf,Em_max_mf,Pm_min_mf,Pm_max_mf,xbj_min,xbj_max,thrq_min,thrq_max,Pm_min_src,Pm_max_src, hms_coll, shms_coll
3821,1.800, 100.000, -0.020,0.094,0.000,0.263,1.197,100.000,0.000,41.230,0.381,0.726,1.005,0.964 
3822,1.800, 100.000, -0.020,0.087,0.000,0.261,1.225,100.000,0.000,40.271,0.391,0.607,0.905,1.034 
3823,1.800, 100.000, -0.020,0.088,0.000,0.275,1.181,100.000,0.000,42.481,0.372,0.701,0.972,1.026 
3824,1.800, 100.000, -0.020,0.089,0.000,0.270,1.251,100.000,0.000,40.643,0.387,0.678,0.984,0.996 
3825,1.800, 100.000, -0.020,0.088,0.000,0.284,1.203,100.000,0.000,39.499,0.369,0.713,1.026,0.949 
3826,1.800, 100.000, -0.020,0.090,0.000,0.258,1.185,100.000,0.000,40.827,0.380,0.730,1.016,0.945 
3827,1.800, 100.000, -0.020,0.091,0.000,0.281,1.283,100.000,0.000,37.887,0.364,0.675,0.956,0.995 
3828,1.800, 100.000, -0.020,0.092,0.000,0.271,1.204,100.000,0.000,41.540,0.353,0.685,1.018,1.045 
3829,1.800, 100.000, -0.020,0.094,0.000,0.276,1.193,100.000,0.000,42.936,0.376,0.671,1.021,1.041 
3830,1.800, 100.000, -0.020,0.091,0.000,0.278,1.257,100.000,0.000,39.307,0.358,0.726,1.057,1.061 
3831,1.800, 100.000, -0.020,0.092,0.000,0.268,1.180,100.000,0.000,40.159,0.376,0.680,1.060,1.024 
3832,1.800, 100.000, -0.020,0.092,0.000,0.283,1.191,100.000,0.000,37.686,0.367,0.690,0.995,0.984 
3833,1.800, 100.000, -0.020,0.096,0.000,0.260,1.173,100.000,0.000,41.845,0.369,0.724,1.044,0.967 
3834,1.800, 100.000, -0.020,0.087,0.000,0.248,1.179,100.000,0.000,42.094,0.384,0.647,1.008,1.017 
3835,1.800, 100.000, -0.020,0.096,0.000,0.280,1.206,100.000,0.000,40.620,0.383,0.681,0.967,1.070 
3836,1.800, 100.000, -0.020,0.091,0.000,0.285,1.191,100.000,0.000,40.783,0.365,0.734,1.012,1.046 
3837,1.800, 100.000, -0.020,0.092,0.000,0.266,1.179,100.000,0.000,39.281,0.389,0.678,1.024,1.023 
3838,1.800, 100.000, -0.020,0.097,0.000,0.270,1.234,100.000,0.000,39.714,0.369,0.712,1.004,0.980 
3839,1.800, 100.000, -0.020,0.093,0.000,0.274,1.253,100.000,0.000,37.884,0.368,0.720,1.036,0.984 
3840,1.800, 100.000, -0.020,0.090,0.000,0.265,1.171,100.000,0.000,41.160,0.363,0.634,1.022,1.032 
3841,1.800, 100.000, -0.020,0.087,0.000,0.268,1.230,100.000,0.000,39.751,0.381,0.691,1.010,0.982 
3842,1.800, 100.000, -0.020,0.089,0.000,0.252,1.143,100.000,0.000,42.542,0.393,0.635,1.038,1.045 
3843,1.800, 100.000, -0.020,0.092,0.000,0.275,1.192,100.000,0.000,39.437,0.379,0.692,1.027,1.039 
3844,1.800, 100.000, -0.020,0.093,0.000,0.278,1.192,100.000,0.000,40.411,0.371,0.654,1.055,0.972 
3845,1.800, 100.000, -0.020,0.091,0.000,0.273,1.291,100.000,0.000,35.568,0.369,0.631,1.016,1.026 
3846,1.800, 100.000, -0.020,0.085,0.000,0.274,1.237,100.000,0.000,41.839,0.383,0.727,1.010,1.028 
3847,1.800, 100.000, -0.020,0.088,0.000,0.263,1.244,100.000,0.000,41.573,0.374,0.665,1.080,0.970 
3848,1.800, 100.000, -0.020,0.093,0.000,0.269,1.199,100.000,0.000,41.450,0.395,0.722,1.020,0.930 
3849,1.800, 100.000, -0.020,0.083,0.000,0.273,1.248,100.000,0.000,37.994,0.367,0.676,1.029,0.921 
3850,1.800, 100.000, -0.020,0.090,0.000,0.269,1.269,100.000,0.000,41.485,0.402,0.679,1.021,1.008 
3851,1.800, 100.000, -0.020,0.088,0.000,0.277,1.193,100.000,0.000,39.168,0.364,0.603,1.003,0.984 
3852,1.800, 100.000, -0.020,0.092,0.000,0.258,1.190,100.000,0.000,34.191,0.380,0.634,0.993,0.989 
3853,1.800, 100.000, -0.020,0.090,0.000,0.274,1.232,100.000,0.000,39.739,0.391,0.767,1.000,0.997 
3854,1.800, 100.000, -0.020,0.090,0.000,0.274,1.176,100.000,0.000,41.674,0.360,0.689,0.983,0.982 
3855,1.800, 100.000, -0.020,0.091,0.000,0.264,1.188,100.000,0.000,41.126,0.383,0.730,1.038,1.001 
3856,1.800, 100.000, -0.020,0.091,0.000,0.275,1.176,100.000,0.000,38.174,0.379,0.734,0.956,0.983 
3857,1.800, 100.000, -0.020,0.087,0.000,0.277,1.269,100.000,0.000,35.438,0.391,0.758,0.990,0.999 
3858,1.800, 100.000, -0.020,0.095,0.000,0.276,1.128,100.000,0.000,38.136,0.373,0.704,1.016,1.053 
3859,1.800, 100.000, -0.020,0.092,0.000,0.270,1.221,100.000,0.000,40.416,0.390,0.743,0.904,0.906 
3860,1.800, 100.000, -0.020,0.094,0.000,0.268,1.389,100.000,0.000,37.491,0.370,0.713,0.991,0.974 
3861,1.800, 100.000, -0.020,0.090,0.000,0.267,1.149,100.000,0.000,43.812,0.373,0.648,1.030,1.034 
3862,1.800, 100.000, -0.020,0.090,0.000,0.267,1.300,100.000,0.000,37.513,0.378,0.630,1.027,1.099 
3863,1.800, 100.000, -0.020,0.093,0.000,0.279,1.137,100.000,0.000,42.766,0.401,0.603,1.012,1.024 
3864,1.800, 100.000, -0.020,0.087,0.000,0.272,1.210,100.000,0.000,39.328,0.388,0.725,1.001,1.031 
3865,1.800, 100.000, -0.020,0.091,0.000,0.287,1.144,100.000,0.000,38.710,0.378,0.783,1.026,1.015 
3866,1.800, 100.000, -0.020,0.091,0.000,0.279,1.237,100.000,0.000,39.418,0.366,0.681,1.035,1.022 
3867,1.800, 100.000, -0.020,0.090,0.000,0.263,1.294,100.000,0.000,40.879,0.358,0.721,1.006,1.047 
3868,1.800, 100.000, -0.020,0.091,0.000,0.286,1.182,100.000,0.000,40.537,0.371,0.693,0.901,0.965 
3869,1.800, 100.000, -0.020,0.094,0.000,0.271,1.111,100.000,0.000,42.456,0.363,0.711,0.982,1.028 
3870,1.800, 100.000, -0.020,0.089,0.000,0.288,1.191,100.000,0.000,41.164,0.385,0.595,1.072,0.983 
3871,1.800, 100.000, -0.020,0.094,0.000,0.285,1.158,100.000,0.000,41.068,0.382,0.670,0.987,0.981 
3872,1.800, 100.000, -0.020,0.089,0.000,0.247,1.201,100.000,0.000,39.499,0.384,0.700,1.064,1.013 
3873,1.800, 100.000, -0.020,0.091,0.000,0.274,1.143,100.000,0.000,35.722,0.352,0.708,1.041,0.986 
3874,1.800, 100.000, -0.020,0.089,0.000,0.267,1.190,100.000,0.000,41.997,0.357,0.622,1.035,1.078 
3875,1.800, 100.000, -0.020,0.089,0.000,0.266,1.250,100.000,0.000,39.428,0.390,0.688,0.979,0.960 
3876,1.800, 100.000, -0.020,0.092,0.000,0.270,1.269,100.000,0.000,39.036,0.354,0.680,1.028,1.028 
3877,1.800, 100.000, -0.020,0.088,0.000,0.283,1.259,100.000,0.000,40.325,0.367,0.734,0.930,1.048 
3878,1.800, 100.000, -0.020,0.089,0.000,0.259,1.239,100.000,0.000,39.622,0.386,0.682,1.030,1.000 
3879,1.800, 100.000, -0.020,0.088,0.000,0.273,1.151,100.000,0.000,39.058,0.384,0.741,1.070,1.025 
3880,1.800, 100.000, -0.020,0.092,0.000,0.274,1.228,100.000,0.000,43.798,0.379,0.734,0.935,1.000 
3881,1.800, 100.000, -0.020,0.090,0.000,0.275,1.185,100.000,0.000,39.459,0.398,0.745,1.010,0.994 
3882,1.800, 100.000, -0.020,0.092,0.000,0.284,1.130,100.000,0.000,39.560,0.386,0.634,1.022,1.052 
3883,1.800, 100.000, -0.020,0.089,0.000,0.280,1.187,100.000,0.000,39.742,0.388,0.767,1.013,0.951 
3884,1.800, 100.000, -0.020,0.090,0.000,0.278,1.176,100.000,0.000,39.922,0.356,0.728,1.045,1.049 
3885,1.800, 100.000, -0.020,0.088,0.000,0.262,1.148,100.000,0.000,38.864,0.353,0.731,1.018,1.008 
3886,1.800, 100.000, -0.020,0.091,0.000,0.261,1.161,100.000,0.000,41.996,0.390,0.668,1.036,0.975 
3887,1.800, 100.000, -0.020,0.090,0.000,0.270,1.261,100.000,0.000,40.353,0.380,0.710,0.997,0.969 
3888,1.800, 100.000, -0.020,0.092,0.000,0.259,1.236,100.000,0.000,39.171,0.377,0.751,1.029,1.017 
3889,1.800, 100.000, -0.020,0.088,0.000,0.259,1.188,100.000,0.000,43.260,0.374,0.713,1.016,1.016 
3890,1.800, 100.000, -0.020,0.087,0.000,0.274,1.159,100.000,0.000,39.074,0.367,0.737,1.032,1.004 
3891,1.800, 100.000, -0.020,0.089,0.000,0.275,1.169,100.000,0.000,35.681,0.368,0.777,0.933,0.992 
3892,1.800, 100.000, -0.020,0.090,0.000,0.281,1.224,100.000,0.000,42.573,0.368,0.742,0.978,0.992 
3893,1.800, 100.000, -0.020,0.093,0.000,0.252,1.232,100.000,0.000,36.333,0.400,0.692,0.978,1.019 
3894,1.800, 100.000, -0.020,0.089,0.000,0.283,1.210,100.000,0.000,38.455,0.379,0.783,1.009,0.942 
3895,1.800, 100.000, -0.020,0.090,0.000,0.263,1.303,100.000,0.000,34.433,0.365,0.682,1.018,1.069 
3896,1.800, 100.000, -0.020,0.088,0.000,0.293,1.240,100.000,0.000,40.850,0.357,0.747,0.935,0.961 
3897,1.800, 100.000, -0.020,0.091,0.000,0.266,1.159,100.000,0.000,42.340,0.358,0.688,1.001,0.942 
3898,1.800, 100.000, -0.020,0.093,0.000,0.270,1.303,100.000,0.000,40.430,0.353,0.697,0.955,0.992 
3899,1.800, 100.000, -0.020,0.089,0.000,0.260,1.133,100.000,0.000,43.329,0.376,0.663,0.958,1.017 
3900,1.800, 100.000, -0.020,0.086,0.000,0.279,1.176,100.000,0.000,41.811,0.386,0.735,0.957,0.936 
3901,1.800, 100.000, -0.020,0.090,0.000,0.271,1.172,100.000,0.000,37.251,0.376,0.691,1.004,0.989 
3902,1.800, 100.000, -0.020,0.089,0.000,0.274,1.146,100.000,0.000,35.046,0.362,0.744,1.012,1.005 
3903,1.800, 100.000, -0.020,0.094,0.000,0.256,1.324,100.000,0.000,39.256,0.338,0.661,1.024,1.083 
3904,1.800, 100.000, -0.020,0.089,0.000,0.268,1.235,100.000,0.000,41.006,0.352,0.656,0.996,1.008 
3905,1.800, 100.000, -0.020,0.095,0.000,0.268,1.147,100.000,0.000,40.068,0.380,0.636,0.956,1.029 
3906,1.800, 100.000, -0.020,0.091,0.000,0.287,1.204,100.000,0.000,40.069,0.377,0.622,0.979,1.004 
3907,1.800, 100.000, -0.020,0.089,0.000,0.266,1.212,100.000,0.000,42.355,0.373,0.797,0.975,0.964 
3908,1.800, 100.000, -0.020,0.087,0.000,0.273,1.246,100.000,0.000,39.285,0.343,0.644,0.987,1.000 
3909,1.800, 100.000, -0.020,0.090,0.000,0.269,1.211,100.000,0.000,37.393,0.385,0.626,0.958,0.995 
3910,1.800, 100.000, -0.020,0.090,0.000,0.245,1.216,100.000,0.000,35.540,0.363,0.660,1.013,0.996 
3911,1.800, 100.000, -0.020,0.090,0.000,0.283,1.197,100.000,0.000,42.187,0.378,0.709,0.970,0.997 
3912,1.800, 100.000, -0.020,0.085,0.000,0.247,1.159,100.000,0.000,41.612,0.387,0.652,0.946,0.971 
3913,1.800, 100.000, -0.020,0.091,0.000,0.282,1.200,100.000,0.000,38.414,0.399,0.660,1.039,0.994 
3914,1.800, 100.000, -0.020,0.087,0.000,0.280,1.169,100.000,0.000,40.743,0.362,0.739,1.076,0.948 
3915,1.800, 100.000, -0.020,0.089,0.000,0.264,1.173,100.000,0.000,39.201,0.384,0.629,1.016,1.018 
3916,1.800, 100.000, -0.020,0.094,0.000,0.272,1.135,100.000,0.000,39.752,0.390,0.764,0.924,0.995 
3917,1.800, 100.000, -0.020,0.089,0.000,0.270,1.244,100.000,0.000,39.090,0.377,0.734,0.952,0.993 
3918,1.800, 100.000, -0.020,0.087,0.000,0.260,1.159,100.000,0.000,37.056,0.349,0.618,0.997,0.955 
3919,1.800, 100.000, -0.020,0.095,0.000,0.289,1.234,100.000,0.000,39.844,0.358,0.811,1.005,1.040 
3920,1.800, 100.000, -0.020,0.091,0.000,0.272,1.236,100.000,0.000,40.221,0.381,0.737,1.031,0.960 
3921,1.800, 100.000, -0.020,0.093,0.000,0.277,1.162,100.000,0.000,40.253,0.400,0.686,1.022,0.994 
3922,1.800, 100.000, -0.020,0.086,0.000,0.273,1.266,100.000,0.000,37.649,0.391,0.661,0.969,0.972 
3923,1.800, 100.000, -0.020,0.091,0.000,0.274,1.195,100.000,0.000,39.991,0.347,0.637,1.006,0.920 
3924,1.800, 100.000, -0.020,0.092,0.000,0.253,1.229,100.000,0.000,40.996,0.375,0.700,1.064,0.978 
3925,1.800, 100.000, -0.020,0.089,0.000,0.268,1.178,100.000,0.000,40.377,0.371,0.710,1.041,0.990 
3926,1.800, 100.000, -0.020,0.086,0.000,0.288,1.179,100.000,0.000,40.584,0.363,0.766,0.998,1.009 
3927,1.800, 100.000, -0.020,0.089,0.000,0.256,1.185,100.000,0.000,40.765,0.361,0.720,1.069,0.971 
3928,1.800, 100.000, -0.020,0.093,0.000,0.279,1.248,100.000,0.000,42.154,0.380,0.736,0.986,1.008 
3929,1.800, 100.000, -0.020,0.091,0.000,0.288,1.186,100.000,0.000,41.655,0.398,0.669,0.960,0.970 
3930,1.800, 100.000, -0.020,0.089,0.000,0.244,1.196,100.000,0.000,42.011,0.369,0.650,1.052,0.978 
3931,1.800, 100.000, -0.020,0.091,0.000,0.281,1.242,100.000,0.000,40.417,0.376,0.783,1.051,1.028 
3932,1.800, 100.000, -0.020,0.092,0.000,0.266,1.238,100.000,0.000,39.563,0.372,0.616,1.056,0.999 
3933,1.800, 100.000, -0.020,0.089,0.000,0.263,1.176,100.000,0.000,45.078,0.376,0.701,1.056,0.988 
3934,1.800, 100.000, -0.020,0.091,0.000,0.274,1.153,100.000,0.000,39.052,0.390,0.778,1.022,0.919 
3935,1.800, 100.000, -0.020,0.087,0.000,0.255,1.175,100.000,0.000,44.959,0.371,0.721,1.070,1.007 
3936,1.800, 100.000, -0.020,0.094,0.000,0.262,1.200,100.000,0.000,40.548,0.362,0.693,0.987,0.989 
3937,1.800, 100.000, -0.020,0.089,0.000,0.266,1.188,100.000,0.000,39.269,0.393,0.719,0.988,1.045 
3938,1.800, 100.000, -0.020,0.090,0.000,0.281,1.241,100.000,0.000,39.689,0.393,0.648,0.924,0.979 
3939,1.800, 100.000, -0.020,0.090,0.000,0.268,1.157,100.000,0.000,41.435,0.385,0.760,0.958,0.963 
3940,1.800, 100.000, -0.020,0.087,0.000,0.273,1.197,100.000,0.000,37.333,0.377,0.655,0.959,1.017 
3941,1.800, 100.000, -0.020,0.086,0.000,0.269,1.210,100.000,0.000,43.759,0.376,0.733,1.014,1.010 
3942,1.800, 100.000, -0.020,0.094,0.000,0.277,1.204,100.000,0.000,37.117,0.366,0.732,0.990,0.967 
3943,1.800, 100.000, -0.020,0.090,0.000,0.261,1.217,100.000,0.000,39.359,0.394,0.656,1.015,1.052 
3944,1.800, 100.000, -0.020,0.093,0.000,0.292,1.220,100.000,0.000,40.896,0.388,0.744,0.986,1.027 
3945,1.800, 100.000, -0.020,0.095,0.000,0.282,1.221,100.000,0.000,39.276,0.397,0.718,0.961,1.025 
3946,1.800, 100.000, -0.020,0.089,0.000,0.278,1.186,100.000,0.000,42.628,0.364,0.771,1.040,1.073 
3947,1.800, 100.000, -0.020,0.090,0.000,0.262,1.223,100.000,0.000,37.963,0.379,0.729,1.012,0.941 
3948,1.800, 100.000, -0.020,0.093,0.000,0.268,1.144,100.000,0.000,34.368,0.391,0.740,0.976,1.025 
3949,1.800, 100.000, -0.020,0.092,0.000,0.276,1.250,100.000,0.000,40.928,0.369,0.695,0.984,0.979 
3950,1.800, 100.000, -0.020,0.093,0.000,0.274,1.095,100.000,0.000,40.397,0.362,0.716,0.942,1.010 
3951,1.800, 100.000, -0.020,0.089,0.000,0.266,1.234,100.000,0.000,41.929,0.364,0.751,1.003,0.994 
3952,1.800, 100.000, -0.020,0.094,0.000,0.273,1.259,100.000,0.000,44.099,0.364,0.762,1.003,0.991 
3953,1.800, 100.000, -0.020,0.091,0.000,0.262,1.157,100.000,0.000,39.825,0.404,0.672,1.038,0.944 
3954,1.800, 100.000, -0.020,0.092,0.000,0.257,1.214,100.000,0.000,42.135,0.340,0.605,0.983,1.037 
3955,1.800, 100.000, -0.020,0.091,0.000,0.270,1.208,100.000,0.000,39.919,0.373,0.655,1.003,1.014 
3956,1.800, 100.000, -0.020,0.095,0.000,0.285,1.268,100.000,0.000,38.737,0.378,0.709,1.000,1.002 
3957,1.800, 100.000, -0.020,0.092,0.000,0.265,1.171,100.000,0.000,37.796,0.414,0.622,0.987,1.011 
3958,1.800, 100.000, -0.020,0.089,0.000,0.271,1.140,100.000,0.000,38.679,0.372,0.636,1.018,0.995 
3959,1.800, 100.000, -0.020,0.090,0.000,0.265,1.210,100.000,0.000,38.283,0.387,0.638,0.946,0.997 
3960,1.800, 100.000, -0.020,0.097,0.000,0.276,1.167,100.000,0.000,39.718,0.360,0.786,0.973,1.022 
3961,1.800, 100.000, -0.020,0.089,0.000,0.278,1.224,100.000,0.000,40.902,0.364,0.734,1.011,1.007 
3962,1.800, 100.000, -0.020,0.088,0.000,0.254,1.206,100.000,0.000,40.770,0.372,0.723,1.015,0.938 
3963,1.800, 100.000, -0.020,0.091,0.000,0.271,1.258,100.000,0.000,38.277,0.378,0.698,0.927,1.022 
3964,1.800, 100.000, -0.020,0.095,0.000,0.280,1.195,100.000,0.000,42.935,0.370,0.769,0.948,1.063 
3965,1.800, 100.000, -0.020,0.089,0.000,0.275,1.221,100.000,0.000,40.057,0.369,0.737,0.987,0.986 
3966,1.800, 100.000, -0.020,0.090,0.000,0.259,1.177,100.000,0.000,39.588,0.382,0.709,1.060,0.981 
3967,1.800, 100.000, -0.020,0.090,0.000,0.283,1.164,100.000,0.000,40.392,0.392,0.751,0.993,0.980 
3968,1.800, 100.000, -0.020,0.090,0.000,0.282,1.189,100.000,0.000,38.427,0.395,0.701,1.054,1.067 
3969,1.800, 100.000, -0.020,0.090,0.000,0.270,1.243,100.000,0.000,39.515,0.375,0.647,1.071,1.034 
3970,1.800, 100.000, -0.020,0.095,0.000,0.277,1.166,100.000,0.000,39.807,0.368,0.700,1.059,0.937 
3971,1.800, 100.000, -0.020,0.094,0.000,0.266,1.288,100.000,0.000,38.187,0.387,0.734,0.964,0.972 
3972,1.800, 100.000, -0.020,0.090,0.000,0.262,1.090,100.000,0.000,36.788,0.367,0.748,1.046,1.033 
3973,1.800, 100.000, -0.020,0.094,0.000,0.252,1.240,100.000,0.000,38.455,0.389,0.785,1.027,0.957 
3974,1.800, 100.000, -0.020,0.093,0.000,0.255,1.199,100.000,0.000,41.096,0.378,0.703,0.889,0.970 
3975,1.800, 100.000, -0.020,0.089,0.000,0.278,1.215,100.000,0.000,37.444,0.386,0.672,1.021,1.007 
3976,1.800, 100.000, -0.020,0.089,0.000,0.267,1.187,100.000,0.000,40.230,0.379,0.743,1.001,1.017 
3977,1.800, 100.000, -0.020,0.088,0.000,0.269,1.251,100.000,0.000,38.639,0.383,0.691,1.026,0.982 
3978,1.800, 100.000, -0.020,0.093,0.000,0.270,1.207,100.000,0.000,38.720,0.363,0.650,0.982,0.997 
