# CaFe Systematics Cuts File
# 
# Header Definitions: 
# entry           : entry to identify each of the gaussian random-generated cuts below
# Q2_min,max      : 4-momentum transfer (MF,SRC) [GeV^2] 
# Em_min,max_mf   : Missing Energy (MF) [GeV] 
# Pm_min,max_mf   : Missing Momentum (MF) [GeV/c] 
# xbj_min,max     : x-bjorken (SRC) 
# thrq_min,max    : recoil nucleon angle relative to q-vector (SRC) [deg] 
# Pm_min,max_src  : Missing Momentum (SRC) [GeV/c] 
# hms/shms_coll   : HMS/SHMS collimator scale factor cut variation
# entry,Q2_min,Q2_max,Em_min_mf,Em_max_mf,Pm_min_mf,Pm_max_mf,xbj_min,xbj_max,thrq_min,thrq_max,Pm_min_src,Pm_max_src, hms_coll, shms_coll
24,1.768, 100.000, -0.020,0.089,0.000,0.272,1.249,100.000,0.000,39.584,0.381,0.734,1.060,1.002 
25,1.799, 100.000, -0.020,0.092,0.000,0.260,1.193,100.000,0.000,40.456,0.382,0.704,0.961,1.004 
26,1.738, 100.000, -0.020,0.086,0.000,0.264,1.311,100.000,0.000,42.559,0.381,0.703,0.933,1.012 
27,1.802, 100.000, -0.020,0.095,0.000,0.280,1.257,100.000,0.000,34.526,0.380,0.744,1.013,1.030 
28,1.857, 100.000, -0.020,0.092,0.000,0.267,1.211,100.000,0.000,38.865,0.377,0.773,1.049,1.067 
29,1.766, 100.000, -0.020,0.084,0.000,0.265,1.176,100.000,0.000,43.285,0.387,0.643,1.035,1.012 
30,1.804, 100.000, -0.020,0.089,0.000,0.262,1.136,100.000,0.000,38.814,0.382,0.663,1.046,1.020 
31,1.758, 100.000, -0.020,0.094,0.000,0.276,1.270,100.000,0.000,39.694,0.368,0.650,0.975,1.010 
32,1.801, 100.000, -0.020,0.086,0.000,0.276,1.240,100.000,0.000,39.681,0.389,0.702,1.037,0.950 
33,1.799, 100.000, -0.020,0.088,0.000,0.258,1.288,100.000,0.000,39.332,0.383,0.668,0.948,1.028 
34,1.754, 100.000, -0.020,0.093,0.000,0.278,1.211,100.000,0.000,41.145,0.375,0.759,1.068,0.958 
35,1.830, 100.000, -0.020,0.090,0.000,0.287,1.237,100.000,0.000,37.369,0.387,0.790,1.012,1.034 
36,1.775, 100.000, -0.020,0.091,0.000,0.281,1.141,100.000,0.000,40.024,0.379,0.678,0.944,0.986 
37,1.645, 100.000, -0.020,0.090,0.000,0.280,1.217,100.000,0.000,38.360,0.366,0.607,1.014,1.036 
38,1.875, 100.000, -0.020,0.089,0.000,0.262,1.184,100.000,0.000,38.688,0.372,0.624,1.024,1.027 
39,1.824, 100.000, -0.020,0.090,0.000,0.285,1.228,100.000,0.000,39.725,0.375,0.734,0.929,0.996 
40,1.742, 100.000, -0.020,0.086,0.000,0.281,1.185,100.000,0.000,40.316,0.374,0.680,0.999,0.975 
41,1.704, 100.000, -0.020,0.085,0.000,0.286,1.254,100.000,0.000,41.365,0.375,0.715,0.914,1.010 
42,1.849, 100.000, -0.020,0.085,0.000,0.264,1.269,100.000,0.000,41.495,0.384,0.800,0.987,1.051 
43,1.859, 100.000, -0.020,0.090,0.000,0.266,1.215,100.000,0.000,39.705,0.387,0.663,1.035,0.988 
44,1.772, 100.000, -0.020,0.089,0.000,0.262,1.136,100.000,0.000,40.876,0.380,0.655,0.957,0.952 
45,1.772, 100.000, -0.020,0.091,0.000,0.261,1.126,100.000,0.000,40.211,0.357,0.662,0.932,0.993 
46,1.811, 100.000, -0.020,0.091,0.000,0.287,1.185,100.000,0.000,41.020,0.362,0.632,1.101,0.964 
47,1.755, 100.000, -0.020,0.092,0.000,0.261,1.179,100.000,0.000,38.670,0.371,0.708,1.034,0.906 
48,1.735, 100.000, -0.020,0.093,0.000,0.269,1.237,100.000,0.000,40.654,0.383,0.703,0.997,0.977 
49,1.839, 100.000, -0.020,0.090,0.000,0.281,1.145,100.000,0.000,38.170,0.361,0.758,1.105,0.958 
50,1.831, 100.000, -0.020,0.092,0.000,0.269,1.262,100.000,0.000,41.537,0.360,0.651,1.025,0.955 
51,1.709, 100.000, -0.020,0.088,0.000,0.278,1.206,100.000,0.000,42.033,0.374,0.693,0.966,1.030 
52,1.758, 100.000, -0.020,0.092,0.000,0.289,1.132,100.000,0.000,39.574,0.361,0.677,0.992,0.954 
53,1.755, 100.000, -0.020,0.090,0.000,0.284,1.221,100.000,0.000,40.079,0.373,0.682,1.023,0.995 
54,1.884, 100.000, -0.020,0.096,0.000,0.267,1.122,100.000,0.000,41.287,0.391,0.674,1.008,0.977 
55,1.731, 100.000, -0.020,0.086,0.000,0.256,1.184,100.000,0.000,38.659,0.378,0.680,0.936,0.974 
56,1.754, 100.000, -0.020,0.088,0.000,0.273,1.181,100.000,0.000,40.362,0.363,0.663,0.970,1.073 
57,1.860, 100.000, -0.020,0.090,0.000,0.273,1.214,100.000,0.000,37.966,0.365,0.613,1.054,1.019 
58,1.764, 100.000, -0.020,0.084,0.000,0.251,1.263,100.000,0.000,44.327,0.368,0.681,0.938,0.974 
59,1.788, 100.000, -0.020,0.092,0.000,0.304,1.264,100.000,0.000,41.504,0.384,0.751,0.997,0.979 
60,1.781, 100.000, -0.020,0.088,0.000,0.259,1.152,100.000,0.000,39.705,0.389,0.697,0.980,0.984 
61,1.791, 100.000, -0.020,0.089,0.000,0.277,1.112,100.000,0.000,41.440,0.383,0.673,0.991,0.968 
62,1.806, 100.000, -0.020,0.088,0.000,0.268,1.192,100.000,0.000,39.915,0.398,0.718,0.988,0.993 
63,1.827, 100.000, -0.020,0.092,0.000,0.268,1.216,100.000,0.000,36.697,0.375,0.692,1.021,1.013 
64,1.716, 100.000, -0.020,0.089,0.000,0.273,1.238,100.000,0.000,36.537,0.374,0.714,1.002,0.992 
65,1.833, 100.000, -0.020,0.086,0.000,0.274,1.237,100.000,0.000,42.581,0.388,0.711,0.983,1.032 
66,1.926, 100.000, -0.020,0.095,0.000,0.270,1.275,100.000,0.000,41.986,0.376,0.729,1.021,1.002 
67,1.885, 100.000, -0.020,0.091,0.000,0.261,1.217,100.000,0.000,42.340,0.391,0.689,1.054,0.964 
68,1.829, 100.000, -0.020,0.090,0.000,0.265,1.150,100.000,0.000,42.099,0.379,0.743,0.984,1.029 
69,1.768, 100.000, -0.020,0.089,0.000,0.283,1.163,100.000,0.000,39.213,0.384,0.739,1.064,1.045 
70,1.752, 100.000, -0.020,0.089,0.000,0.269,1.223,100.000,0.000,39.910,0.378,0.749,0.961,1.098 
71,1.771, 100.000, -0.020,0.088,0.000,0.279,1.207,100.000,0.000,39.733,0.374,0.703,0.969,1.013 
72,1.816, 100.000, -0.020,0.096,0.000,0.268,1.162,100.000,0.000,40.291,0.370,0.616,0.934,0.995 
73,1.877, 100.000, -0.020,0.090,0.000,0.268,1.246,100.000,0.000,39.035,0.351,0.685,1.012,1.031 
74,1.891, 100.000, -0.020,0.093,0.000,0.270,1.165,100.000,0.000,40.436,0.374,0.700,0.981,1.115 
75,1.828, 100.000, -0.020,0.086,0.000,0.271,1.175,100.000,0.000,39.163,0.371,0.726,0.975,1.015 
76,1.857, 100.000, -0.020,0.090,0.000,0.277,1.215,100.000,0.000,41.216,0.375,0.684,0.985,0.997 
77,1.867, 100.000, -0.020,0.091,0.000,0.276,1.165,100.000,0.000,39.960,0.381,0.662,1.021,1.011 
78,1.775, 100.000, -0.020,0.089,0.000,0.287,1.258,100.000,0.000,39.454,0.355,0.652,0.967,1.049 
79,1.843, 100.000, -0.020,0.089,0.000,0.274,1.205,100.000,0.000,41.310,0.384,0.741,1.036,1.040 
80,1.768, 100.000, -0.020,0.094,0.000,0.268,1.212,100.000,0.000,38.909,0.375,0.656,0.943,1.014 
81,1.775, 100.000, -0.020,0.090,0.000,0.264,1.165,100.000,0.000,42.002,0.382,0.707,1.008,0.968 
82,1.713, 100.000, -0.020,0.092,0.000,0.279,1.301,100.000,0.000,42.647,0.383,0.681,1.013,1.016 
83,1.920, 100.000, -0.020,0.090,0.000,0.281,1.150,100.000,0.000,38.686,0.381,0.731,0.909,1.000 
84,1.765, 100.000, -0.020,0.094,0.000,0.282,1.233,100.000,0.000,40.259,0.382,0.647,1.016,0.914 
85,1.764, 100.000, -0.020,0.089,0.000,0.266,1.131,100.000,0.000,42.416,0.363,0.717,0.974,1.053 
86,1.702, 100.000, -0.020,0.091,0.000,0.279,1.174,100.000,0.000,38.663,0.385,0.697,1.009,1.003 
87,1.721, 100.000, -0.020,0.087,0.000,0.286,1.168,100.000,0.000,43.899,0.390,0.660,1.035,0.979 
88,1.744, 100.000, -0.020,0.091,0.000,0.253,1.183,100.000,0.000,38.167,0.373,0.836,0.967,1.020 
89,1.782, 100.000, -0.020,0.093,0.000,0.283,1.229,100.000,0.000,39.332,0.378,0.738,0.975,0.977 
90,1.801, 100.000, -0.020,0.088,0.000,0.257,1.218,100.000,0.000,38.252,0.396,0.712,0.995,1.034 
91,1.782, 100.000, -0.020,0.090,0.000,0.268,1.246,100.000,0.000,41.029,0.363,0.744,1.027,1.004 
92,1.806, 100.000, -0.020,0.092,0.000,0.266,1.251,100.000,0.000,39.885,0.387,0.708,0.994,1.014 
93,1.800, 100.000, -0.020,0.087,0.000,0.277,1.102,100.000,0.000,42.615,0.375,0.672,1.040,1.037 
94,1.728, 100.000, -0.020,0.085,0.000,0.273,1.200,100.000,0.000,42.516,0.382,0.720,0.923,0.947 
95,1.751, 100.000, -0.020,0.090,0.000,0.270,1.257,100.000,0.000,41.829,0.387,0.735,0.964,0.978 
96,1.748, 100.000, -0.020,0.094,0.000,0.255,1.163,100.000,0.000,42.950,0.375,0.699,1.037,0.964 
97,1.774, 100.000, -0.020,0.088,0.000,0.275,1.197,100.000,0.000,41.494,0.375,0.661,0.928,0.913 
98,1.822, 100.000, -0.020,0.091,0.000,0.260,1.172,100.000,0.000,41.684,0.380,0.669,1.015,0.996 
99,1.786, 100.000, -0.020,0.087,0.000,0.262,1.171,100.000,0.000,39.624,0.378,0.702,1.025,1.037 
100,1.862, 100.000, -0.020,0.093,0.000,0.268,1.176,100.000,0.000,40.765,0.368,0.688,0.981,1.000 
101,1.850, 100.000, -0.020,0.089,0.000,0.264,1.120,100.000,0.000,45.808,0.380,0.706,1.044,0.969 
102,1.710, 100.000, -0.020,0.092,0.000,0.277,1.267,100.000,0.000,38.409,0.373,0.819,0.886,1.016 
103,1.771, 100.000, -0.020,0.090,0.000,0.279,1.231,100.000,0.000,39.480,0.382,0.650,1.057,1.002 
104,1.795, 100.000, -0.020,0.091,0.000,0.284,1.162,100.000,0.000,42.376,0.374,0.696,0.938,0.976 
105,1.767, 100.000, -0.020,0.090,0.000,0.279,1.222,100.000,0.000,36.102,0.357,0.685,0.985,1.012 
106,1.754, 100.000, -0.020,0.087,0.000,0.272,1.130,100.000,0.000,39.038,0.365,0.553,1.009,0.983 
107,1.808, 100.000, -0.020,0.090,0.000,0.282,1.191,100.000,0.000,40.502,0.387,0.729,1.010,1.062 
108,1.866, 100.000, -0.020,0.090,0.000,0.260,1.193,100.000,0.000,38.980,0.387,0.725,0.982,0.988 
109,1.734, 100.000, -0.020,0.091,0.000,0.269,1.221,100.000,0.000,38.984,0.368,0.735,1.040,0.975 
110,1.788, 100.000, -0.020,0.090,0.000,0.275,1.256,100.000,0.000,41.329,0.375,0.737,0.965,1.006 
111,1.887, 100.000, -0.020,0.090,0.000,0.265,1.148,100.000,0.000,38.410,0.390,0.675,0.986,1.036 
112,1.700, 100.000, -0.020,0.091,0.000,0.275,1.294,100.000,0.000,40.615,0.375,0.653,0.995,1.008 
113,1.837, 100.000, -0.020,0.090,0.000,0.272,1.202,100.000,0.000,37.560,0.365,0.673,1.043,0.919 
114,1.773, 100.000, -0.020,0.086,0.000,0.269,1.275,100.000,0.000,40.292,0.371,0.675,1.032,0.928 
115,1.786, 100.000, -0.020,0.085,0.000,0.272,1.200,100.000,0.000,39.902,0.374,0.743,0.961,0.968 
116,1.757, 100.000, -0.020,0.091,0.000,0.262,1.144,100.000,0.000,38.069,0.372,0.674,0.998,0.990 
117,1.911, 100.000, -0.020,0.088,0.000,0.263,1.203,100.000,0.000,39.206,0.370,0.716,1.015,1.001 
118,1.805, 100.000, -0.020,0.095,0.000,0.271,1.283,100.000,0.000,40.743,0.371,0.848,1.004,0.975 
119,1.843, 100.000, -0.020,0.091,0.000,0.262,1.197,100.000,0.000,40.644,0.382,0.609,1.005,1.012 
120,1.769, 100.000, -0.020,0.089,0.000,0.268,1.118,100.000,0.000,40.754,0.372,0.732,1.066,1.060 
121,1.787, 100.000, -0.020,0.086,0.000,0.280,1.194,100.000,0.000,40.831,0.395,0.745,0.985,1.034 
122,1.824, 100.000, -0.020,0.088,0.000,0.283,1.172,100.000,0.000,40.923,0.384,0.715,0.986,0.971 
123,1.782, 100.000, -0.020,0.087,0.000,0.271,1.132,100.000,0.000,40.992,0.383,0.728,1.007,0.946 
124,1.843, 100.000, -0.020,0.087,0.000,0.281,1.168,100.000,0.000,40.766,0.379,0.750,0.989,0.981 
125,1.799, 100.000, -0.020,0.087,0.000,0.266,1.180,100.000,0.000,35.715,0.398,0.634,1.021,0.960 
126,1.796, 100.000, -0.020,0.086,0.000,0.283,1.276,100.000,0.000,37.180,0.363,0.758,1.032,1.051 
127,1.754, 100.000, -0.020,0.088,0.000,0.269,1.186,100.000,0.000,39.269,0.391,0.726,1.003,1.016 
128,1.800, 100.000, -0.020,0.094,0.000,0.259,1.239,100.000,0.000,38.480,0.383,0.715,0.973,0.984 
129,1.797, 100.000, -0.020,0.086,0.000,0.274,1.189,100.000,0.000,40.035,0.378,0.723,0.973,0.964 
130,1.762, 100.000, -0.020,0.086,0.000,0.275,1.232,100.000,0.000,39.055,0.369,0.674,0.955,1.001 
131,1.805, 100.000, -0.020,0.086,0.000,0.284,1.172,100.000,0.000,39.608,0.367,0.691,1.085,1.047 
132,1.836, 100.000, -0.020,0.092,0.000,0.265,1.206,100.000,0.000,38.940,0.390,0.853,1.016,1.014 
133,1.736, 100.000, -0.020,0.093,0.000,0.267,1.041,100.000,0.000,39.242,0.362,0.693,1.045,1.088 
134,1.747, 100.000, -0.020,0.093,0.000,0.286,1.269,100.000,0.000,37.446,0.357,0.722,1.003,1.041 
135,1.826, 100.000, -0.020,0.087,0.000,0.259,1.193,100.000,0.000,40.601,0.363,0.738,0.940,0.966 
136,1.781, 100.000, -0.020,0.091,0.000,0.263,1.085,100.000,0.000,39.185,0.370,0.721,0.941,0.953 
137,1.823, 100.000, -0.020,0.091,0.000,0.267,1.222,100.000,0.000,37.613,0.372,0.716,0.970,1.002 
138,1.777, 100.000, -0.020,0.086,0.000,0.284,1.221,100.000,0.000,39.917,0.360,0.728,1.081,1.034 
139,1.823, 100.000, -0.020,0.086,0.000,0.271,1.193,100.000,0.000,40.455,0.382,0.792,1.016,0.998 
140,1.774, 100.000, -0.020,0.089,0.000,0.295,1.188,100.000,0.000,40.628,0.373,0.632,1.006,0.960 
141,1.814, 100.000, -0.020,0.087,0.000,0.260,1.197,100.000,0.000,38.570,0.390,0.717,0.985,1.027 
142,1.780, 100.000, -0.020,0.087,0.000,0.259,1.200,100.000,0.000,37.214,0.384,0.705,1.003,1.029 
143,1.834, 100.000, -0.020,0.090,0.000,0.267,1.206,100.000,0.000,40.458,0.367,0.675,0.987,1.012 
144,1.819, 100.000, -0.020,0.089,0.000,0.270,1.149,100.000,0.000,39.487,0.375,0.701,1.072,1.010 
145,1.822, 100.000, -0.020,0.091,0.000,0.281,1.190,100.000,0.000,39.881,0.373,0.559,1.011,1.012 
146,1.818, 100.000, -0.020,0.089,0.000,0.280,1.259,100.000,0.000,44.034,0.372,0.704,1.039,1.018 
147,1.950, 100.000, -0.020,0.091,0.000,0.278,1.127,100.000,0.000,36.760,0.377,0.667,1.071,0.967 
148,1.801, 100.000, -0.020,0.087,0.000,0.271,1.259,100.000,0.000,40.044,0.383,0.783,1.027,0.978 
149,1.866, 100.000, -0.020,0.091,0.000,0.284,1.241,100.000,0.000,38.272,0.380,0.684,1.022,0.968 
150,1.740, 100.000, -0.020,0.092,0.000,0.266,1.205,100.000,0.000,38.509,0.378,0.751,0.986,1.039 
151,1.744, 100.000, -0.020,0.096,0.000,0.283,1.207,100.000,0.000,40.346,0.365,0.759,1.000,0.988 
152,1.767, 100.000, -0.020,0.089,0.000,0.264,1.135,100.000,0.000,42.061,0.375,0.755,0.982,1.001 
153,1.799, 100.000, -0.020,0.091,0.000,0.281,1.233,100.000,0.000,37.366,0.364,0.750,0.973,0.984 
154,1.809, 100.000, -0.020,0.092,0.000,0.289,1.234,100.000,0.000,39.892,0.370,0.687,1.042,1.028 
155,1.810, 100.000, -0.020,0.089,0.000,0.267,1.207,100.000,0.000,37.083,0.373,0.743,1.004,0.962 
156,1.833, 100.000, -0.020,0.089,0.000,0.278,1.195,100.000,0.000,41.143,0.387,0.643,0.954,0.975 
157,1.909, 100.000, -0.020,0.092,0.000,0.274,1.167,100.000,0.000,39.159,0.368,0.725,1.068,0.995 
158,1.905, 100.000, -0.020,0.089,0.000,0.278,1.261,100.000,0.000,40.335,0.381,0.679,0.996,1.024 
159,1.749, 100.000, -0.020,0.091,0.000,0.266,1.268,100.000,0.000,42.255,0.378,0.738,0.970,1.066 
160,1.831, 100.000, -0.020,0.097,0.000,0.269,1.246,100.000,0.000,44.464,0.363,0.644,0.966,1.017 
161,1.824, 100.000, -0.020,0.092,0.000,0.277,1.232,100.000,0.000,39.082,0.372,0.713,0.901,1.036 
162,1.857, 100.000, -0.020,0.091,0.000,0.279,1.123,100.000,0.000,39.324,0.388,0.722,0.990,1.013 
163,1.654, 100.000, -0.020,0.091,0.000,0.267,1.240,100.000,0.000,41.267,0.384,0.711,0.970,1.038 
164,1.759, 100.000, -0.020,0.084,0.000,0.272,1.257,100.000,0.000,39.715,0.368,0.666,1.060,0.992 
165,1.820, 100.000, -0.020,0.094,0.000,0.271,1.169,100.000,0.000,41.777,0.374,0.788,1.067,0.962 
166,1.760, 100.000, -0.020,0.086,0.000,0.263,1.171,100.000,0.000,40.674,0.369,0.715,1.048,0.939 
167,1.812, 100.000, -0.020,0.088,0.000,0.272,1.171,100.000,0.000,40.388,0.395,0.730,1.062,1.021 
168,1.676, 100.000, -0.020,0.093,0.000,0.276,1.250,100.000,0.000,46.700,0.368,0.733,1.012,0.967 
169,1.789, 100.000, -0.020,0.089,0.000,0.271,1.234,100.000,0.000,41.769,0.373,0.715,0.944,0.982 
170,1.863, 100.000, -0.020,0.093,0.000,0.263,1.181,100.000,0.000,41.378,0.383,0.722,0.959,0.978 
171,1.909, 100.000, -0.020,0.091,0.000,0.295,1.301,100.000,0.000,39.074,0.377,0.694,1.011,1.058 
172,1.736, 100.000, -0.020,0.089,0.000,0.265,1.129,100.000,0.000,40.387,0.388,0.674,1.073,0.950 
173,1.755, 100.000, -0.020,0.089,0.000,0.261,1.230,100.000,0.000,40.755,0.376,0.747,0.988,1.001 
174,1.817, 100.000, -0.020,0.087,0.000,0.274,1.246,100.000,0.000,38.746,0.390,0.780,0.989,0.986 
175,1.786, 100.000, -0.020,0.093,0.000,0.275,1.196,100.000,0.000,41.927,0.359,0.771,1.063,0.969 
176,1.819, 100.000, -0.020,0.091,0.000,0.257,1.099,100.000,0.000,39.932,0.366,0.619,0.984,1.021 
177,1.805, 100.000, -0.020,0.088,0.000,0.269,1.088,100.000,0.000,42.542,0.380,0.681,1.049,0.988 
178,1.859, 100.000, -0.020,0.090,0.000,0.252,1.194,100.000,0.000,39.404,0.372,0.727,0.983,0.957 
179,1.815, 100.000, -0.020,0.090,0.000,0.281,1.193,100.000,0.000,38.936,0.393,0.687,1.013,0.967 
180,1.936, 100.000, -0.020,0.091,0.000,0.273,1.191,100.000,0.000,37.853,0.363,0.660,0.965,1.050 
181,1.765, 100.000, -0.020,0.092,0.000,0.280,1.202,100.000,0.000,43.964,0.388,0.619,0.983,1.033 
182,1.767, 100.000, -0.020,0.090,0.000,0.278,1.170,100.000,0.000,38.715,0.377,0.759,1.038,0.947 
183,1.751, 100.000, -0.020,0.088,0.000,0.251,1.222,100.000,0.000,38.726,0.359,0.710,1.082,0.969 
184,1.809, 100.000, -0.020,0.091,0.000,0.263,1.168,100.000,0.000,39.515,0.369,0.688,0.897,1.051 
185,1.833, 100.000, -0.020,0.088,0.000,0.282,1.320,100.000,0.000,40.372,0.381,0.633,1.038,0.999 
186,1.829, 100.000, -0.020,0.093,0.000,0.280,1.214,100.000,0.000,39.580,0.372,0.676,0.992,0.969 
187,1.716, 100.000, -0.020,0.082,0.000,0.258,1.170,100.000,0.000,34.719,0.400,0.638,1.019,1.014 
188,1.765, 100.000, -0.020,0.090,0.000,0.281,1.134,100.000,0.000,41.546,0.386,0.757,1.012,1.013 
189,1.708, 100.000, -0.020,0.090,0.000,0.274,1.184,100.000,0.000,42.038,0.382,0.624,0.952,1.019 
190,1.885, 100.000, -0.020,0.092,0.000,0.259,1.199,100.000,0.000,41.072,0.379,0.739,1.046,0.963 
191,1.820, 100.000, -0.020,0.090,0.000,0.278,1.233,100.000,0.000,40.950,0.378,0.663,1.035,1.029 
192,1.812, 100.000, -0.020,0.088,0.000,0.242,1.159,100.000,0.000,40.703,0.379,0.750,1.067,0.970 
193,1.838, 100.000, -0.020,0.090,0.000,0.282,1.216,100.000,0.000,41.407,0.378,0.706,1.028,0.968 
194,1.855, 100.000, -0.020,0.093,0.000,0.265,1.268,100.000,0.000,42.328,0.382,0.726,0.987,0.981 
195,1.810, 100.000, -0.020,0.096,0.000,0.258,1.181,100.000,0.000,41.039,0.369,0.659,0.981,0.914 
196,1.769, 100.000, -0.020,0.088,0.000,0.270,1.175,100.000,0.000,40.283,0.385,0.648,0.982,0.987 
197,1.818, 100.000, -0.020,0.091,0.000,0.272,1.216,100.000,0.000,39.881,0.370,0.641,0.972,1.012 
198,1.779, 100.000, -0.020,0.088,0.000,0.262,1.158,100.000,0.000,39.328,0.377,0.645,1.002,0.992 
199,1.880, 100.000, -0.020,0.087,0.000,0.283,1.249,100.000,0.000,41.841,0.380,0.703,0.989,0.927 
200,1.756, 100.000, -0.020,0.090,0.000,0.272,1.192,100.000,0.000,42.054,0.362,0.761,1.081,1.020 
201,1.789, 100.000, -0.020,0.090,0.000,0.294,1.221,100.000,0.000,39.397,0.364,0.812,1.002,0.993 
202,1.804, 100.000, -0.020,0.086,0.000,0.269,1.227,100.000,0.000,38.365,0.365,0.607,1.036,0.967 
203,1.887, 100.000, -0.020,0.087,0.000,0.272,1.190,100.000,0.000,43.332,0.373,0.671,0.979,0.964 
204,1.790, 100.000, -0.020,0.089,0.000,0.266,1.154,100.000,0.000,37.693,0.385,0.767,0.963,0.978 
205,1.743, 100.000, -0.020,0.093,0.000,0.278,1.233,100.000,0.000,39.695,0.375,0.772,0.980,0.958 
206,1.811, 100.000, -0.020,0.091,0.000,0.267,1.135,100.000,0.000,36.697,0.374,0.668,1.026,0.932 
207,1.751, 100.000, -0.020,0.088,0.000,0.271,1.215,100.000,0.000,42.859,0.380,0.659,0.970,1.036 
208,1.783, 100.000, -0.020,0.095,0.000,0.259,1.226,100.000,0.000,36.571,0.379,0.650,0.922,0.978 
209,1.924, 100.000, -0.020,0.087,0.000,0.290,1.215,100.000,0.000,42.679,0.384,0.792,1.002,1.014 
210,1.835, 100.000, -0.020,0.088,0.000,0.275,1.140,100.000,0.000,39.148,0.385,0.650,0.988,1.013 
211,1.837, 100.000, -0.020,0.093,0.000,0.265,1.205,100.000,0.000,42.822,0.393,0.711,0.947,1.005 
212,1.830, 100.000, -0.020,0.091,0.000,0.272,1.173,100.000,0.000,41.125,0.376,0.713,1.005,0.954 
213,1.913, 100.000, -0.020,0.087,0.000,0.277,1.173,100.000,0.000,40.001,0.387,0.659,1.001,0.972 
214,1.744, 100.000, -0.020,0.092,0.000,0.266,1.197,100.000,0.000,39.077,0.371,0.617,1.043,1.016 
215,1.841, 100.000, -0.020,0.086,0.000,0.266,1.151,100.000,0.000,40.214,0.386,0.674,0.970,0.977 
216,1.877, 100.000, -0.020,0.092,0.000,0.269,1.168,100.000,0.000,40.647,0.373,0.682,1.021,1.011 
